label,task,result,cost,score,time,configCount,revisitCount,acceptCount,bestCount,saRunCount,searchAlg,tool,pca,thresh,seed,mode,improve
TN,jayhorn-recursive/SatFibonacci01,SAFE,-1,-1,5.470438003540040,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatFibonacci01,SAFE,-1,-1,5.522575855255130,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatFibonacci02,SAFE,-1,-1,5.7120068073272700,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatFibonacci02,SAFE,-1,-1,5.95131516456604,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatFibonacci02,SAFE,-1,-1,6.574812412261960,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatFibonacci02,SAFE,-1,-1,6.658083915710450,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatFibonacci02,SAFE,-1,-1,6.949001789093020,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatFibonacci02,SAFE,-1,-1,11.419430255889900,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatFibonacci02,SAFE,-1,-1,12.269324541091900,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatFibonacci02,SAFE,-1,-1,12.293267250061000,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatFibonacci02,SAFE,-1,-1,12.340529918670700,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatFibonacci02,SAFE,-1,-1,12.642627239227300,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatFibonacci03,SAFE,-1,-1,3.592536449432370,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatFibonacci03,SAFE,-1,-1,3.8321478366851800,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatFibonacci03,SAFE,-1,-1,3.860900402069090,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatFibonacci03,SAFE,-1,-1,3.8879830837249800,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatFibonacci03,SAFE,-1,-1,4.0407631397247300,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatFibonacci03,SAFE,-1,-1,11.888440132141100,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatFibonacci03,SAFE,-1,-1,12.292178630828900,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatFibonacci03,SAFE,-1,-1,12.355415344238300,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
