TN,TP,FN,FP,prog,complete,score,falseRate,--drop-unused-functions,--full-slice,--no-assumptions,--no-built-in-assertions,--no-pretty-names,--no-self-loops-to-assumptions,--nondet-static,--partial-loops,--refine,--refine-strings,--slice-formula,--depth,--unwind,--max-nondet-tree-depth,--min-null-tree-depth,--paths,--mm,arrays-uf,reachability-slice,round,solver
0,101,0,43,1000,144,-587.0,29.8611111111,1,1,0,1,0,1,0,1,1,0,1,100,1,100,0,lifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--z3
0,117,0,44,1000,161,-587.0,27.3291925466,1,1,1,0,1,0,0,1,1,0,0,0,100,100,20,fifo,tso,0,--reachability-slice,--round-to-plus-inf,--boolector
0,196,0,49,1000,245,-588.0,20.0,1,0,1,0,1,0,1,1,0,0,0,100,1,0,0,fifo,tso,0,--reachability-slice-fb,--round-to-minus-inf,--cvc4
0,110,0,45,1000,155,-610.0,29.0322580645,1,1,0,0,1,0,0,1,1,0,1,1000,20,5000,5,0,sc,0,--reachability-slice-fb,--round-to-plus-inf,--yices
0,174,0,49,1000,223,-610.0,21.9730941704,0,0,0,0,1,0,0,1,0,0,1,5000,1,5000,100,fifo,pso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--z3
0,174,0,49,1000,223,-610.0,21.9730941704,1,0,1,1,0,0,0,1,1,1,1,5000,1,1000,5,fifo,sc,0,--reachability-slice,--round-to-zero,--cprover-smt2
0,109,0,45,1000,154,-611.0,29.2207792208,1,1,1,1,1,0,0,1,0,1,0,100,1,0,5,0,pso,--arrays-uf-always,--reachability-slice,--round-to-zero,--mathsat
0,199,0,51,1000,250,-617.0,20.4,1,0,1,1,1,0,1,1,1,1,0,0,100,1000,0,fifo,pso,--arrays-uf-never,--reachability-slice,--round-to-zero,0
0,198,0,51,1000,249,-618.0,20.4819277108,0,0,1,0,0,1,1,1,1,0,0,2000,10,5000,0,lifo,sc,--arrays-uf-never,0,--round-to-zero,--yices
104,212,15,35,1000,366,-620.0,13.6612021858,0,0,0,1,0,0,1,0,1,0,0,0,100,5000,20,0,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-minus-inf,--yices
0,116,0,46,1000,162,-620.0,28.3950617284,1,1,1,1,1,1,0,1,0,1,0,0,5,100,10,fifo,sc,0,0,--round-to-zero,--yices
187,338,41,2,1000,568,-632.0,7.57042253521,0,0,0,1,1,0,0,0,0,0,1,1000,20,100,100,0,tso,0,--reachability-slice,--round-to-zero,--z3
20,128,6,38,1000,192,-632.0,22.9166666667,1,0,0,0,0,1,1,0,1,1,1,5000,1,1000,5,lifo,sc,--arrays-uf-never,0,--round-to-plus-inf,0
0,226,0,54,1000,280,-638.0,19.2857142857,1,0,1,0,1,1,0,1,1,1,1,5000,10,1000,100,0,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,0
0,209,0,53,1000,262,-639.0,20.2290076336,1,0,1,1,1,1,1,1,1,0,0,1000,100,5000,10,fifo,pso,--arrays-uf-always,0,--round-to-zero,--yices
0,112,0,47,1000,159,-640.0,29.5597484277,1,1,0,1,1,1,0,1,1,1,0,5000,100,0,20,fifo,pso,0,--reachability-slice-fb,--round-to-zero,--cvc4
