TN,TP,FN,FP,prog,complete,score,falseRate,numIfs,numVars,numFuncs,numCalls,numLoops,numArrayTypes,numCompositeTypes,numFundamentalTypes,numLines,SSASwitchInstruction,SSAArrayLengthInstruction,SSAArrayLoadInstruction,SSAPutInstruction,SSAComparisonInstruction,SSAConditionalBranchInstruction,SSANewInstruction,SSAReturnInstruction,SSAGetInstruction,SSAGotoInstruction,SSALoadMetadataInstruction,SSAInstanceofInstruction,SSAArrayStoreInstruction,SSACheckCastInstruction,SSAGetCaughtExceptionInstruction,SSABinaryOpInstruction,SSAPhiInstruction,SSAUnaryOpInstruction,SSAConversionInstruction,SSAPiInstruction,SSAMonitorInstruction,SSAInvokeInstruction,SSAThrowInstruction
0,76,0,0,256,76,76.0,0.0,0,16,4,2,0,0,1,15,26,0,0,0,1,0,3,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,7,1
0,99,0,0,256,99,99.0,0.0,1,27,4,3,0,0,1,26,40,0,0,0,2,0,5,2,5,9,2,1,0,0,0,0,2,1,0,0,0,0,11,1
0,103,0,0,256,103,103.0,0.0,0,27,4,3,0,0,1,26,38,0,0,0,2,0,4,2,4,8,3,1,0,0,0,0,2,1,0,0,0,0,11,1
0,129,0,0,256,129,129.0,0.0,1,8,2,1,0,1,1,6,14,1,0,0,0,2,1,0,0,0,2,2,0,1,2,0,2,0,1,0,0,0,1,1
0,0,0,61,256,61,-976.0,100.0,9,30,2,3,0,0,3,27,44,1,0,0,0,2,3,0,0,0,4,3,3,0,1,0,10,10,1,3,0,0,3,1
0,128,0,0,256,128,128.0,0.0,1,8,2,1,0,1,1,6,14,1,0,0,0,2,1,0,0,0,2,2,0,1,2,0,2,0,1,0,0,0,1,1
54,0,0,104,256,158,-1556.0,65.8227848101,0,6,2,0,0,0,0,6,9,1,0,0,0,2,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,1
0,99,0,0,256,99,99.0,0.0,1,10,2,2,0,0,1,9,15,1,0,0,0,2,1,0,0,0,3,1,1,1,2,0,2,0,1,0,0,0,1,1
0,98,0,0,256,98,98.0,0.0,1,10,2,2,0,0,1,9,15,1,0,0,0,2,1,0,0,0,3,1,1,1,2,0,2,0,1,0,0,0,1,1
0,0,0,74,256,74,-1184.0,100.0,0,9,1,4,0,0,2,7,11,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0
0,103,0,0,256,103,103.0,0.0,0,16,4,3,0,0,1,15,29,0,0,0,1,0,5,2,4,5,2,1,0,0,0,0,0,1,0,0,0,0,8,1
0,28,0,0,256,28,28.0,0.0,2,29,4,4,0,0,1,28,49,0,0,0,1,0,7,3,6,7,3,1,0,0,0,0,6,1,0,0,0,0,13,2
0,33,0,0,256,33,33.0,0.0,2,27,4,4,0,0,1,26,48,0,0,0,3,0,6,2,6,10,3,1,0,0,0,0,4,1,0,0,0,0,12,1
0,0,0,66,256,66,-1056.0,100.0,4,16,4,4,0,0,1,15,39,8,1,0,8,7,0,0,1,3,3,0,1,6,0,1,0,0,0,0,0,0,1,0
0,103,0,0,256,103,103.0,0.0,0,27,4,4,0,0,1,26,35,0,0,0,1,0,4,2,4,6,2,1,0,0,0,0,2,1,0,0,0,0,12,1
166,0,0,21,256,187,-4.0,11.2299465241,3,12,2,2,0,1,1,10,20,2,0,0,0,3,2,0,0,1,3,2,0,0,1,0,4,0,1,0,0,0,1,1
0,24,0,0,256,24,24.0,0.0,2,16,2,6,0,0,2,14,19,0,7,2,0,0,1,3,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,2
0,23,0,0,256,23,23.0,0.0,3,26,2,8,1,1,2,23,29,0,0,4,0,2,1,0,2,0,1,0,1,1,2,3,3,1,9,0,2,0,0,0
0,24,0,0,256,24,24.0,0.0,2,19,2,7,0,0,2,17,20,0,0,0,1,0,3,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,8,1
0,24,0,0,256,24,24.0,0.0,2,14,2,5,0,0,2,12,18,1,0,0,2,0,2,1,0,1,1,6,0,0,0,0,0,0,0,3,1,1,0,0
0,24,0,0,256,24,24.0,0.0,2,14,2,5,0,0,2,12,18,0,0,0,1,0,3,2,2,1,1,1,0,0,0,0,0,1,0,0,0,0,6,1
0,0,0,39,256,39,-624.0,100.0,11,63,2,22,1,1,6,56,63,1,0,0,1,0,1,5,0,1,2,0,12,23,0,0,0,0,6,3,0,7,2,2
0,103,0,0,256,103,103.0,0.0,0,29,4,4,0,0,1,28,40,0,0,0,2,0,4,2,4,8,3,1,0,0,0,0,2,1,1,0,0,0,12,1
101,0,0,36,256,137,-374.0,26.2773722628,3,16,4,4,0,0,2,14,36,0,0,0,1,0,10,2,4,2,4,1,0,0,0,0,3,4,1,0,0,0,7,1
0,24,0,0,256,24,24.0,0.0,2,11,2,4,0,0,2,9,17,1,0,0,2,0,2,1,0,1,1,5,0,0,0,0,0,0,0,3,1,1,0,0
0,0,0,66,256,66,-1056.0,100.0,7,29,2,11,0,0,6,23,38,8,6,1,3,0,0,12,0,3,0,1,0,0,0,0,0,0,0,0,1,3,1,0
139,0,0,35,256,174,-282.0,20.1149425287,0,27,4,2,0,0,1,26,34,0,0,0,1,0,4,2,4,6,3,1,0,0,0,0,2,1,0,0,0,0,10,1
0,99,0,0,256,99,99.0,0.0,1,8,2,2,0,0,2,6,15,1,0,0,0,2,1,0,0,0,3,2,0,1,1,0,2,0,1,0,0,0,2,1
202,0,0,0,256,202,404.0,0.0,4,13,3,3,0,0,1,12,29,1,0,3,1,0,7,1,0,1,1,6,0,0,0,0,0,0,0,7,1,1,0,0
0,0,0,63,256,63,-1008.0,100.0,17,81,3,25,1,1,8,72,99,12,0,1,0,0,4,22,30,3,3,3,0,0,1,0,0,1,11,1,2,9,0,0
0,19,0,0,256,19,19.0,0.0,3,24,2,6,1,1,1,22,24,1,0,0,0,2,1,0,0,0,7,2,3,0,2,0,4,0,1,0,0,0,1,3
