TN,TP,FN,FP,prog,complete,score,falseRate,-rta,-specs,-bounded-heap-size,-heap-limit,-heap-mode,-initial-heap-size,-inline-count,-inline-size,-mem-prec,-solver,-step-heap-size,-solver-options
101,20,2,4,368,127,94.0,4.72440944882,off,on,100,10,auto,1,100,-1,1,eldarica,5000,debug
95,82,0,35,368,212,-288.0,16.5094339623,off,off,10,1000,auto,5000,-1,100,5,spacer,5000,off
76,0,0,1,368,77,136.0,1.2987012987,off,on,5000,10,auto,100,-1,1,4,eldarica,1000,debug
88,74,0,5,368,167,170.0,2.99401197605,on,off,5000,100,bounded,10,1000,10,2,eldarica,1000,abstractPO
37,75,0,62,368,174,-843.0,35.632183908,off,off,100,1,auto,10,10,1,3,eldarica,1000,abstractPO
76,0,1,0,368,77,120.0,1.2987012987,on,on,100,10,unbounded,1000,1,1,3,eldarica,1,abstract
97,0,0,0,368,97,194.0,0.0,on,off,1000,100,unbounded,10,100,1000,4,eldarica,5000,debug
97,121,0,38,368,256,-293.0,14.84375,on,off,1,-1,auto,1,10,100,3,spacer,10,off
0,0,0,0,368,0,0.0,0.0,on,on,10,-1,bounded,1000,100,1000,2,eldarica,10,abstract
95,83,0,38,368,216,-335.0,17.5925925926,on,off,10,100,unbounded,10,-1,100,2,spacer,5000,off
76,0,0,1,368,77,136.0,1.2987012987,off,off,1000,1000,auto,100,1,1,5,eldarica,100,abstractPO
0,0,0,0,368,0,0.0,0.0,off,on,1,10,bounded,100,1,-1,4,eldarica,5000,abstract
76,0,1,0,368,77,120.0,1.2987012987,on,off,1000,10,unbounded,10,1,-1,3,eldarica,1000,abstract
79,0,0,0,368,79,158.0,0.0,off,on,1000,100,unbounded,1000,-1,10,1,eldarica,5000,abstractPO
101,0,0,0,368,101,202.0,0.0,off,on,5000,-1,unbounded,5000,1000,10,4,eldarica,5000,debug
79,111,0,37,368,227,-323.0,16.2995594714,on,off,100,10,auto,1,-1,10,1,eldarica,1000,abstractPO
89,66,0,1,368,156,228.0,0.641025641026,on,on,100,-1,bounded,10,-1,-1,4,eldarica,10,abstractPO
96,83,0,37,368,216,-317.0,17.1296296296,off,off,100,100,bounded,1,100,1,3,spacer,1000,off
37,2,0,1,368,40,60.0,2.5,off,on,1000,1,auto,100,10,10,3,eldarica,5000,abstractPO
102,0,1,0,368,103,172.0,0.970873786408,off,on,100,-1,unbounded,1,-1,100,4,eldarica,1000,abstract
0,2,0,1,368,3,-14.0,33.3333333333,on,off,1000,10,bounded,100,10,100,5,eldarica,10,debug
0,0,0,0,368,0,0.0,0.0,off,off,1,1000,bounded,1000,-1,10,5,eldarica,10,abstractPO
98,2,10,1,368,111,-138.0,9.90990990991,on,off,5000,10,auto,100,1,100,1,eldarica,100,abstractPO
36,0,0,0,368,36,72.0,0.0,off,on,5000,1,unbounded,1,100,1000,3,eldarica,1000,debug
38,0,1,0,368,39,44.0,2.5641025641,on,off,1,1,auto,5000,100,10,2,eldarica,1000,abstract
93,82,1,39,368,215,-388.0,18.6046511628,on,on,5000,100,unbounded,1,1,1000,1,spacer,5000,off
