TN,TP,FN,FP,prog,complete,score,falseRate,--disable-uncaught-exception-check,--drop-unused-functions,--full-slice,--java-assume-inputs-non-null,--java-threading,--java-unwind-enum-static,--localize-faults,--no-assumptions,--no-pretty-names,--no-refine-strings,--no-self-loops-to-assumptions,--nondet-static,--refine,--slice-formula,--string-non-empty,--string-printable,--symex-driven-lazy-loading,--depth,--unwind,--max-nondet-array-length,--max-nondet-string-length,--max-nondet-tree-depth,--java-max-vla-length,--paths,arrays-uf,reachability-slice,solvert
118,190,5,35,368,348,-294.0,11.4942528736,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5000,5,0,10,1000,0,0,--arrays-uf-always,--reachability-slice-fb,--mathsat
164,0,204,0,368,368,-6200.0,55.4347826087,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,100,10,100,0,1000,0,lifo,0,0,--yices
50,0,2,0,368,52,36.0,3.84615384615,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,5000,10,10,100,5000,0,0,--arrays-uf-always,--reachability-slice,--yices
21,0,13,0,368,34,-374.0,38.2352941176,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,5,10,0,1000,10,fifo,--arrays-uf-never,--reachability-slice-fb,--boolector
0,0,0,0,368,0,0.0,0.0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1000,100,10,10,2000,100,lifo,--arrays-uf-always,--reachability-slice,--yices
164,0,204,0,368,368,-6200.0,55.4347826087,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,2000,1,10,10,2000,0,fifo,0,0,0
0,0,0,0,368,0,0.0,0.0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,5000,20,10,0,0,10,fifo,--arrays-uf-never,--reachability-slice,--mathsat
97,76,55,6,368,234,-1586.0,26.0683760684,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1000,20,0,0,1000,0,lifo,--arrays-uf-never,--reachability-slice-fb,--boolector
124,0,109,0,368,233,-3240.0,46.7811158798,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1000,1,0,0,5000,100,0,--arrays-uf-never,--reachability-slice,--mathsat
119,131,0,9,368,259,225.0,3.4749034749,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,100,100,100,2000,100,0,--arrays-uf-never,--reachability-slice,--boolector
0,0,0,0,368,0,0.0,0.0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1000,100,0,100,100,0,lifo,0,0,--yices
3,0,1,0,368,4,-26.0,25.0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,100,0,100,1000,0,lifo,0,--reachability-slice,--z3
0,0,0,0,368,0,0.0,0.0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1000,1,10,100,5000,10,fifo,0,--reachability-slice-fb,--cvc4
130,0,130,0,368,260,-3900.0,50.0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1000,10,10,10,100,10,0,0,--reachability-slice,--boolector
46,0,43,0,368,89,-1284.0,48.3146067416,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2000,1,10,10,100,0,lifo,--arrays-uf-never,--reachability-slice,--z3
88,9,57,6,368,160,-1735.0,39.375,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,100,100,10,0,0,100,0,0,--reachability-slice-fb,--boolector
158,0,202,0,368,360,-6148.0,56.1111111111,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,100,1,10,0,1000,10,0,0,--reachability-slice,--cvc4
50,103,1,25,368,179,-229.0,14.5251396648,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1000,20,100,10,100,100,0,0,--reachability-slice-fb,--boolector
4,0,6,0,368,10,-184.0,60.0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,2000,10,0,0,1000,0,fifo,--arrays-uf-always,--reachability-slice,--cvc4
164,0,204,0,368,368,-6200.0,55.4347826087,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1000,20,0,10,2000,100,fifo,0,0,--mathsat
53,133,3,80,368,269,-1137.0,30.8550185874,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1000,5,10,100,100,100,0,--arrays-uf-never,--reachability-slice-fb,--mathsat
73,3,51,3,368,130,-1531.0,41.5384615385,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,100,1,100,10,100,10,0,--arrays-uf-always,--reachability-slice-fb,--yices
68,0,2,0,368,70,72.0,2.85714285714,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2000,1,0,0,100,0,lifo,--arrays-uf-never,--reachability-slice,--mathsat
154,17,185,8,368,364,-5723.0,53.021978022,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,100,20,10,100,2000,10,0,--arrays-uf-never,--reachability-slice-fb,--z3
9,5,0,4,368,18,-41.0,22.2222222222,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1000,100,0,10,0,0,fifo,0,--reachability-slice-fb,--z3
