0,0,1,0,0,0,0,1,0,0,1,1000,100,5000,0,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-nearest,--mathsat
1,1,0,0,1,0,0,0,1,1,0,100,1,100,0,0,sc,0,--reachability-slice,--round-to-zero,--boolector
0,1,0,0,0,0,1,1,0,0,1,1000,1,0,100,lifo,sc,0,--reachability-slice,--round-to-zero,0
1,0,0,1,1,0,0,0,1,0,1,0,10,2000,100,fifo,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--mathsat
1,1,1,1,1,0,1,0,1,0,0,0,100,0,20,0,sc,--arrays-uf-always,0,--round-to-plus-inf,--z3
0,1,1,1,0,1,1,1,1,0,1,1000,10,2000,100,0,pso,--arrays-uf-always,--reachability-slice,--round-to-nearest,0
1,0,1,1,1,1,1,0,1,0,1,100,20,1000,0,fifo,pso,0,0,--round-to-zero,--yices
0,0,1,1,0,1,0,1,1,0,1,100,20,0,10,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-minus-inf,0
1,0,0,1,0,1,0,0,0,0,1,100,10,1000,5,0,pso,0,--reachability-slice-fb,--round-to-nearest,0
1,1,1,0,0,1,1,1,1,0,0,0,10,0,5,0,sc,0,--reachability-slice-fb,--round-to-plus-inf,--z3
0,0,1,0,1,1,1,1,0,1,1,100,5,1000,20,0,sc,--arrays-uf-never,0,--round-to-zero,--boolector
0,0,0,0,0,0,0,1,1,0,1,0,1,1000,10,lifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,--z3
1,0,0,0,1,1,1,0,1,1,1,1000,5,100,100,fifo,pso,0,--reachability-slice-fb,--round-to-minus-inf,0
0,0,1,0,1,1,1,1,0,1,1,1000,1,100,0,0,pso,0,0,--round-to-zero,--mathsat
1,0,1,0,1,1,1,1,1,1,1,100,1,1000,5,lifo,sc,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--z3
1,0,1,1,0,0,1,0,1,1,0,1000,1,2000,20,fifo,pso,--arrays-uf-always,0,--round-to-plus-inf,--z3
1,1,0,1,0,0,1,0,0,1,1,5000,100,0,20,lifo,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,--boolector
0,1,1,0,0,1,1,0,1,1,1,5000,1,0,10,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,--mathsat
1,1,0,1,0,1,1,0,0,1,0,0,1,100,5,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,0
0,1,0,1,0,0,0,0,1,0,0,2000,5,2000,5,lifo,tso,--arrays-uf-never,--reachability-slice,--round-to-nearest,--z3
0,0,0,0,0,0,0,1,0,1,1,5000,20,0,100,fifo,tso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--boolector
0,1,1,0,0,0,0,1,0,0,0,1000,1,100,20,lifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,0
1,1,0,1,0,1,1,0,1,1,1,2000,20,1000,100,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--cvc4
1,0,1,1,1,0,0,0,1,1,1,5000,20,5000,20,fifo,pso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--cvc4
